Cbench started.
Measure Mode: wall_time
Thread ID: 11802960
Fiber ID: 14782220
Total: 59.631248
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.002     0.001     0.000     0.001       45   Gem::Version#<=>
  0.00      0.001     0.001     0.000     0.000      316   Class#inherited
  0.00      0.001     0.001     0.000     0.000      858   Kernel#kind_of?
  0.00      0.015     0.001     0.000     0.014      400   Enumerable#all?
  0.00      0.004     0.001     0.000     0.003      293   BinData::StructArgProcessor#sanitize_fields
  0.00      0.001     0.001     0.000     0.000      460   Bundler::DepProxy#name
  0.00      0.001     0.001     0.000     0.000      238   BinData::DSLMixin::DSLFieldValidator#initialize
  0.00      0.004     0.001     0.000     0.004      188   Bundler::Index#<<
  0.00      0.038     0.001     0.000     0.037      200   BinData::SanitizedParameters#create_sanitized_params
  0.00      0.001     0.001     0.000     0.000      513   Fixnum#==
  0.00      0.001     0.001     0.000     0.000      237   BinData::SanitizedFields#initialize
  0.00      0.001     0.001     0.000     0.000      254   Gem::Version#prerelease?
  0.00      0.018     0.001     0.000     0.017      102   Bundler::Index#local_search
  0.00      0.001     0.001     0.000     0.000      206   BinData::SanitizedParameters#create_sanitized_endian
  0.00      0.002     0.001     0.000     0.001      220   BinData::SanitizedFields#copy_fields
  0.00      0.007     0.001     0.000     0.006      109   Set#initialize
  0.00      0.001     0.001     0.000     0.000      183   <Module::Bundler>#rubygems
  0.00      0.001     0.001     0.000     0.000      197   <Module::Gem>#platforms
  0.00      0.001     0.001     0.000     0.000      379   Module#class_variable_set
  0.00      0.001     0.001     0.000     0.000      472   <Class::File>#file?
  0.00      0.101     0.001     0.000     0.100       14   BasicObject#instance_eval
  0.00      0.001     0.001     0.000     0.000      711   BinData::BaseArgProcessor#sanitize_parameters!
  0.00      0.001     0.001     0.000     0.000      178   String#rindex
  0.00      0.001     0.001     0.000     0.000      314   Hash#values
  0.00      0.001     0.001     0.000     0.000      189   <Class::File>#basename
  0.00      0.001     0.001     0.000     0.000      736   String#==
  0.00      0.005     0.001     0.000     0.004      109   Set#merge
  0.00      0.015     0.001     0.000     0.015      162   Bundler::Source::Rubygems#credless_remotes
  0.00      0.003     0.001     0.000     0.002       20   Pathname#plus
  0.00      0.014     0.001     0.000     0.013      237   BinData::DSLMixin::DSLBigAndLittleEndianHandler#ancestor_fields
  0.00      0.008     0.001     0.000     0.007      128   Gem::Dependency#to_s
  0.00      0.001     0.001     0.000     0.000      217   BinData::DSLMixin::DSLParser#valid_endian?
  0.00      0.002     0.001     0.000     0.002      112   GLI::DSL#verify_unused_in_option
  0.00      0.001     0.001     0.000     0.000      434   Gem::Specification#to_spec
  0.00      0.001     0.001     0.000     0.000      226   Array#delete
  0.00      0.001     0.001     0.000     0.000      238   BinData::DSLMixin::DSLBigAndLittleEndianHandler#initialize
  0.00      0.014     0.001     0.000     0.014      173  *Kernel#tap
  0.00      0.001     0.001     0.000     0.000      260   <Class::URI::Generic>#default_port
  0.00      0.001     0.001     0.000     0.001      163   URI::Generic#password=
  0.00      0.009     0.001     0.000     0.008      149   <Class::Gem::Requirement>#default
